resume_id,role_target,level,years_experience,skills,skills_count,companies_worked,resume_text,source,date_generated
RE3DBEAC2,Software Engineer,Junior,2.0,"Python, Go, Figma, Slack",4,"Adobe, Salesforce, Oracle, Uber","Software Engineer with 2 years of experience
        
        Skills: Python, Go, Figma, Slack
        
        Experience:
        - Junior Software Engineer at Adobe (2 years)
        - Software Engineer at Salesforce (2 years)
        - Junior Software Engineer at Oracle (2 years)
        
        
        Proficiencies in: Python, Go, Figma, Slack
        
        Achievements:
        - Led projects using Slack
        - Improved system performance by 23%
        - Mentored 3 junior developers
        - Deployed solutions impacting 1392 users",synthetic,2025-12-07
R786DC7F1,Software Engineer,Junior,2.0,"Kotlin, Git, C++, JIRA",4,"Salesforce, Adobe, Amazon, GitHub","Software Engineer with 2 years of experience
        
        Skills: Kotlin, Git, C++, JIRA
        
        Experience:
        - Junior Software Engineer at Salesforce (4 years)
        - Software Engineer at Adobe (3 years)
        - Junior Software Engineer at Amazon (1 years)
        
        
        Proficiencies in: Kotlin, Git, C++, JIRA
        
        Achievements:
        - Led projects using Git
        - Improved system performance by 41%
        - Mentored 5 junior developers
        - Deployed solutions impacting 355 users",synthetic,2025-12-07
R73128D73,Software Engineer,Junior,3.0,"Kotlin, Go, VS Code, Slack",4,"Google, GitHub, Spotify","Software Engineer with 3 years of experience
        
        Skills: Kotlin, Go, VS Code, Slack
        
        Experience:
        - Junior Software Engineer at Google (2 years)
        - Software Engineer at GitHub (1 years)
        - Junior Software Engineer at Spotify (1 years)
        
        
        Proficiencies in: Kotlin, Go, VS Code, Slack
        
        Achievements:
        - Led projects using Go
        - Improved system performance by 14%
        - Mentored 3 junior developers
        - Deployed solutions impacting 6649 users",synthetic,2025-12-07
R0325666B,Software Engineer,Mid-Level,6.0,"Python, Git, Slack, C#",4,"Apple, Google, Salesforce","Software Engineer with 6 years of experience
        
        Skills: Python, Git, Slack, C#
        
        Experience:
        - Mid-Level Software Engineer at Apple (4 years)
        - Software Engineer at Google (3 years)
        - Junior Software Engineer at Salesforce (1 years)
        
        
        Proficiencies in: Python, Git, Slack, C#
        
        Achievements:
        - Led projects using C#
        - Improved system performance by 32%
        - Mentored 3 junior developers
        - Deployed solutions impacting 1245 users",synthetic,2025-12-07
R015D1C45,Software Engineer,Mid-Level,3.0,"Kotlin, Python, IntelliJ, Git",4,"Google, Elastic","Software Engineer with 3 years of experience
        
        Skills: Kotlin, Python, IntelliJ, Git
        
        Experience:
        - Mid-Level Software Engineer at Google (3 years)
        - Software Engineer at Elastic (2 years)

        
        
        Proficiencies in: Kotlin, Python, IntelliJ, Git
        
        Achievements:
        - Led projects using Python
        - Improved system performance by 24%
        - Mentored 4 junior developers
        - Deployed solutions impacting 9135 users",synthetic,2025-12-07
RA471706F,Software Engineer,Mid-Level,5.0,"JIRA, Go, Ruby, Slack",4,"Amazon, Apple","Software Engineer with 5 years of experience
        
        Skills: JIRA, Go, Ruby, Slack
        
        Experience:
        - Mid-Level Software Engineer at Amazon (1 years)
        - Software Engineer at Apple (1 years)

        
        
        Proficiencies in: JIRA, Go, Ruby, Slack
        
        Achievements:
        - Led projects using Ruby
        - Improved system performance by 33%
        - Mentored 3 junior developers
        - Deployed solutions impacting 6566 users",synthetic,2025-12-07
R0F4C3376,Software Engineer,Senior,9.0,"GitHub, Slack, C++, PHP",4,"GitHub, Netflix, GitLab","Software Engineer with 9 years of experience
        
        Skills: GitHub, Slack, C++, PHP
        
        Experience:
        - Senior Software Engineer at GitHub (3 years)
        - Software Engineer at Netflix (2 years)
        - Junior Software Engineer at GitLab (1 years)
        
        
        Proficiencies in: GitHub, Slack, C++, PHP
        
        Achievements:
        - Led projects using GitHub
        - Improved system performance by 22%
        - Mentored 2 junior developers
        - Deployed solutions impacting 5297 users",synthetic,2025-12-07
RF5652CEA,Software Engineer,Senior,8.0,"IntelliJ, GitHub, C#, PHP",4,"Elastic, Uber, Adobe, HashiCorp","Software Engineer with 8 years of experience
        
        Skills: IntelliJ, GitHub, C#, PHP
        
        Experience:
        - Senior Software Engineer at Elastic (4 years)
        - Software Engineer at Uber (2 years)
        - Junior Software Engineer at Adobe (1 years)
        
        
        Proficiencies in: IntelliJ, GitHub, C#, PHP
        
        Achievements:
        - Led projects using C#
        - Improved system performance by 24%
        - Mentored 3 junior developers
        - Deployed solutions impacting 6244 users",synthetic,2025-12-07
R116B8FC2,Software Engineer,Senior,7.0,"Kotlin, GitHub, C#, VS Code",4,"Stripe, Meta","Software Engineer with 7 years of experience
        
        Skills: Kotlin, GitHub, C#, VS Code
        
        Experience:
        - Senior Software Engineer at Stripe (3 years)
        - Software Engineer at Meta (1 years)

        
        
        Proficiencies in: Kotlin, GitHub, C#, VS Code
        
        Achievements:
        - Led projects using GitHub
        - Improved system performance by 30%
        - Mentored 3 junior developers
        - Deployed solutions impacting 1765 users",synthetic,2025-12-07
RA6547F4B,Software Engineer,Lead,15.0,"JIRA, IntelliJ, Java, Rust",4,"DataDog, GitLab, IBM, Uber","Software Engineer with 15 years of experience
        
        Skills: JIRA, IntelliJ, Java, Rust
        
        Experience:
        - Lead Software Engineer at DataDog (2 years)
        - Software Engineer at GitLab (2 years)
        - Junior Software Engineer at IBM (2 years)
        
        
        Proficiencies in: JIRA, IntelliJ, Java, Rust
        
        Achievements:
        - Led projects using IntelliJ
        - Improved system performance by 22%
        - Mentored 3 junior developers
        - Deployed solutions impacting 5938 users",synthetic,2025-12-07
R6576F9C1,Software Engineer,Lead,11.0,"JIRA, Ruby, Slack, Rust",4,"Apple, MongoDB","Software Engineer with 11 years of experience
        
        Skills: JIRA, Ruby, Slack, Rust
        
        Experience:
        - Lead Software Engineer at Apple (4 years)
        - Software Engineer at MongoDB (2 years)

        
        
        Proficiencies in: JIRA, Ruby, Slack, Rust
        
        Achievements:
        - Led projects using Rust
        - Improved system performance by 17%
        - Mentored 2 junior developers
        - Deployed solutions impacting 212 users",synthetic,2025-12-07
REB3F14AE,Software Engineer,Lead,12.0,"Slack, C#, Java, VS Code",4,"DataDog, GitHub, Spotify, IBM","Software Engineer with 12 years of experience
        
        Skills: Slack, C#, Java, VS Code
        
        Experience:
        - Lead Software Engineer at DataDog (3 years)
        - Software Engineer at GitHub (3 years)
        - Junior Software Engineer at Spotify (2 years)
        
        
        Proficiencies in: Slack, C#, Java, VS Code
        
        Achievements:
        - Led projects using Java
        - Improved system performance by 33%
        - Mentored 3 junior developers
        - Deployed solutions impacting 8908 users",synthetic,2025-12-07
RF1EABD3F,Data Scientist,Junior,2.0,"Pandas, JIRA, Figma, Scikit-learn, NumPy, Ruby, C#",7,"Uber, Microsoft","Data Scientist with 2 years of experience
        
        Skills: Pandas, JIRA, Figma, Scikit-learn, NumPy, Ruby, C#
        
        Experience:
        - Junior Data Scientist at Uber (1 years)
        - Data Scientist at Microsoft (3 years)

        
        
        Proficiencies in: Pandas, JIRA, Figma, Scikit-learn, NumPy, Ruby, C#
        
        Achievements:
        - Led projects using Pandas
        - Improved system performance by 10%
        - Mentored 3 junior developers
        - Deployed solutions impacting 6368 users",synthetic,2025-12-07
RE53B19B3,Data Scientist,Junior,1.0,"Pandas, Go, Scikit-learn, Java, VS Code, NumPy, Git",7,"MongoDB, Netflix, Elastic","Data Scientist with 1 years of experience
        
        Skills: Pandas, Go, Scikit-learn, Java, VS Code, NumPy, Git
        
        Experience:
        - Junior Data Scientist at MongoDB (4 years)
        - Data Scientist at Netflix (1 years)
        - Junior Data Scientist at Elastic (2 years)
        
        
        Proficiencies in: Pandas, Go, Scikit-learn, Java, VS Code, NumPy, Git
        
        Achievements:
        - Led projects using Pandas
        - Improved system performance by 43%
        - Mentored 2 junior developers
        - Deployed solutions impacting 195 users",synthetic,2025-12-07
R27C8C78A,Data Scientist,Junior,2.0,"Pandas, Python, Figma, Scikit-learn, Java, NumPy, Git",7,"Oracle, GitLab","Data Scientist with 2 years of experience
        
        Skills: Pandas, Python, Figma, Scikit-learn, Java, NumPy, Git
        
        Experience:
        - Junior Data Scientist at Oracle (1 years)
        - Data Scientist at GitLab (2 years)

        
        
        Proficiencies in: Pandas, Python, Figma, Scikit-learn, Java, NumPy, Git
        
        Achievements:
        - Led projects using NumPy
        - Improved system performance by 17%
        - Mentored 3 junior developers
        - Deployed solutions impacting 2138 users",synthetic,2025-12-07
RC3BD1321,Data Scientist,Mid-Level,3.0,"Pandas, Python, Confluence, Figma, Scikit-learn, NumPy, C++",7,"Airbnb, IBM, Google, Uber","Data Scientist with 3 years of experience
        
        Skills: Pandas, Python, Confluence, Figma, Scikit-learn, NumPy, C++
        
        Experience:
        - Mid-Level Data Scientist at Airbnb (1 years)
        - Data Scientist at IBM (2 years)
        - Junior Data Scientist at Google (2 years)
        
        
        Proficiencies in: Pandas, Python, Confluence, Figma, Scikit-learn, NumPy, C++
        
        Achievements:
        - Led projects using Python
        - Improved system performance by 26%
        - Mentored 3 junior developers
        - Deployed solutions impacting 9316 users",synthetic,2025-12-07
R37A817E3,Data Scientist,Mid-Level,3.0,"Pandas, Python, IntelliJ, Scikit-learn, GitHub, NumPy, JavaScript",7,"DataDog, MongoDB, HashiCorp","Data Scientist with 3 years of experience
        
        Skills: Pandas, Python, IntelliJ, Scikit-learn, GitHub, NumPy, JavaScript
        
        Experience:
        - Mid-Level Data Scientist at DataDog (1 years)
        - Data Scientist at MongoDB (2 years)
        - Junior Data Scientist at HashiCorp (1 years)
        
        
        Proficiencies in: Pandas, Python, IntelliJ, Scikit-learn, GitHub, NumPy, JavaScript
        
        Achievements:
        - Led projects using Scikit-learn
        - Improved system performance by 14%
        - Mentored 2 junior developers
        - Deployed solutions impacting 1722 users",synthetic,2025-12-07
R685ABEB6,Data Scientist,Mid-Level,3.0,"Pandas, Kotlin, JIRA, Scikit-learn, VS Code, NumPy, JavaScript",7,"HashiCorp, Stripe, Uber","Data Scientist with 3 years of experience
        
        Skills: Pandas, Kotlin, JIRA, Scikit-learn, VS Code, NumPy, JavaScript
        
        Experience:
        - Mid-Level Data Scientist at HashiCorp (3 years)
        - Data Scientist at Stripe (2 years)
        - Junior Data Scientist at Uber (2 years)
        
        
        Proficiencies in: Pandas, Kotlin, JIRA, Scikit-learn, VS Code, NumPy, JavaScript
        
        Achievements:
        - Led projects using JIRA
        - Improved system performance by 17%
        - Mentored 4 junior developers
        - Deployed solutions impacting 1378 users",synthetic,2025-12-07
RA6B053A3,Data Scientist,Senior,6.0,"Pandas, JIRA, IntelliJ, Go, Scikit-learn, NumPy, Ruby",7,"Adobe, Apple","Data Scientist with 6 years of experience
        
        Skills: Pandas, JIRA, IntelliJ, Go, Scikit-learn, NumPy, Ruby
        
        Experience:
        - Senior Data Scientist at Adobe (4 years)
        - Data Scientist at Apple (3 years)

        
        
        Proficiencies in: Pandas, JIRA, IntelliJ, Go, Scikit-learn, NumPy, Ruby
        
        Achievements:
        - Led projects using Go
        - Improved system performance by 16%
        - Mentored 3 junior developers
        - Deployed solutions impacting 7491 users",synthetic,2025-12-07
RA1D8FE1A,Data Scientist,Senior,7.0,"Pandas, Kotlin, IntelliJ, Scikit-learn, NumPy, Git, PHP",7,"DataDog, Meta, Elastic, Stripe","Data Scientist with 7 years of experience
        
        Skills: Pandas, Kotlin, IntelliJ, Scikit-learn, NumPy, Git, PHP
        
        Experience:
        - Senior Data Scientist at DataDog (3 years)
        - Data Scientist at Meta (2 years)
        - Junior Data Scientist at Elastic (2 years)
        
        
        Proficiencies in: Pandas, Kotlin, IntelliJ, Scikit-learn, NumPy, Git, PHP
        
        Achievements:
        - Led projects using Git
        - Improved system performance by 23%
        - Mentored 4 junior developers
        - Deployed solutions impacting 4174 users",synthetic,2025-12-07
R0F9DD98C,Data Scientist,Senior,9.0,"Pandas, JIRA, Scikit-learn, GitHub, NumPy, JavaScript, Rust",7,"Stripe, Elastic, Apple","Data Scientist with 9 years of experience
        
        Skills: Pandas, JIRA, Scikit-learn, GitHub, NumPy, JavaScript, Rust
        
        Experience:
        - Senior Data Scientist at Stripe (4 years)
        - Data Scientist at Elastic (1 years)
        - Junior Data Scientist at Apple (2 years)
        
        
        Proficiencies in: Pandas, JIRA, Scikit-learn, GitHub, NumPy, JavaScript, Rust
        
        Achievements:
        - Led projects using JIRA
        - Improved system performance by 30%
        - Mentored 2 junior developers
        - Deployed solutions impacting 7927 users",synthetic,2025-12-07
R62AB3B5A,Data Scientist,Lead,10.0,"Pandas, Figma, Scikit-learn, NumPy, Git, Ruby, C#",7,"Google, Adobe, Stripe","Data Scientist with 10 years of experience
        
        Skills: Pandas, Figma, Scikit-learn, NumPy, Git, Ruby, C#
        
        Experience:
        - Lead Data Scientist at Google (4 years)
        - Data Scientist at Adobe (1 years)
        - Junior Data Scientist at Stripe (1 years)
        
        
        Proficiencies in: Pandas, Figma, Scikit-learn, NumPy, Git, Ruby, C#
        
        Achievements:
        - Led projects using Git
        - Improved system performance by 43%
        - Mentored 5 junior developers
        - Deployed solutions impacting 2318 users",synthetic,2025-12-07
RA1357385,Data Scientist,Lead,15.0,"Pandas, JIRA, Go, Scikit-learn, GitHub, Java, NumPy",7,"Netflix, Apple, Stripe, Tesla","Data Scientist with 15 years of experience
        
        Skills: Pandas, JIRA, Go, Scikit-learn, GitHub, Java, NumPy
        
        Experience:
        - Lead Data Scientist at Netflix (4 years)
        - Data Scientist at Apple (1 years)
        - Junior Data Scientist at Stripe (1 years)
        
        
        Proficiencies in: Pandas, JIRA, Go, Scikit-learn, GitHub, Java, NumPy
        
        Achievements:
        - Led projects using NumPy
        - Improved system performance by 44%
        - Mentored 4 junior developers
        - Deployed solutions impacting 1319 users",synthetic,2025-12-07
R14E47F35,Data Scientist,Lead,10.0,"Pandas, Kotlin, Scikit-learn, GitHub, NumPy, Slack, Ruby",7,"MongoDB, Uber, Stripe","Data Scientist with 10 years of experience
        
        Skills: Pandas, Kotlin, Scikit-learn, GitHub, NumPy, Slack, Ruby
        
        Experience:
        - Lead Data Scientist at MongoDB (2 years)
        - Data Scientist at Uber (3 years)
        - Junior Data Scientist at Stripe (2 years)
        
        
        Proficiencies in: Pandas, Kotlin, Scikit-learn, GitHub, NumPy, Slack, Ruby
        
        Achievements:
        - Led projects using NumPy
        - Improved system performance by 39%
        - Mentored 4 junior developers
        - Deployed solutions impacting 8295 users",synthetic,2025-12-07
RF95EAAE1,DevOps Engineer,Junior,1.0,"JIRA, Go, Docker, Kubernetes, AWS, Slack, Rust",7,"IBM, Salesforce, DataDog","DevOps Engineer with 1 years of experience
        
        Skills: JIRA, Go, Docker, Kubernetes, AWS, Slack, Rust
        
        Experience:
        - Junior DevOps Engineer at IBM (2 years)
        - DevOps Engineer at Salesforce (2 years)
        - Junior DevOps Engineer at DataDog (2 years)
        
        
        Proficiencies in: JIRA, Go, Docker, Kubernetes, AWS, Slack, Rust
        
        Achievements:
        - Led projects using Docker
        - Improved system performance by 20%
        - Mentored 2 junior developers
        - Deployed solutions impacting 4920 users",synthetic,2025-12-07
R5D55156C,DevOps Engineer,Junior,2.0,"IntelliJ, Python, Confluence, Docker, Kubernetes, Java, AWS",7,"Adobe, IBM, Airbnb, Elastic","DevOps Engineer with 2 years of experience
        
        Skills: IntelliJ, Python, Confluence, Docker, Kubernetes, Java, AWS
        
        Experience:
        - Junior DevOps Engineer at Adobe (1 years)
        - DevOps Engineer at IBM (3 years)
        - Junior DevOps Engineer at Airbnb (2 years)
        
        
        Proficiencies in: IntelliJ, Python, Confluence, Docker, Kubernetes, Java, AWS
        
        Achievements:
        - Led projects using Confluence
        - Improved system performance by 45%
        - Mentored 3 junior developers
        - Deployed solutions impacting 9762 users",synthetic,2025-12-07
R09C835DE,DevOps Engineer,Junior,2.0,"Kotlin, JIRA, Docker, Kubernetes, Figma, AWS, Rust",7,"DataDog, Airbnb, Microsoft, Tesla","DevOps Engineer with 2 years of experience
        
        Skills: Kotlin, JIRA, Docker, Kubernetes, Figma, AWS, Rust
        
        Experience:
        - Junior DevOps Engineer at DataDog (1 years)
        - DevOps Engineer at Airbnb (2 years)
        - Junior DevOps Engineer at Microsoft (2 years)
        
        
        Proficiencies in: Kotlin, JIRA, Docker, Kubernetes, Figma, AWS, Rust
        
        Achievements:
        - Led projects using Figma
        - Improved system performance by 25%
        - Mentored 5 junior developers
        - Deployed solutions impacting 8633 users",synthetic,2025-12-07
RA106A876,DevOps Engineer,Mid-Level,3.0,"Go, Docker, Kubernetes, GitHub, AWS, Git, Ruby",7,"Uber, GitHub, Meta, DataDog","DevOps Engineer with 3 years of experience
        
        Skills: Go, Docker, Kubernetes, GitHub, AWS, Git, Ruby
        
        Experience:
        - Mid-Level DevOps Engineer at Uber (3 years)
        - DevOps Engineer at GitHub (3 years)
        - Junior DevOps Engineer at Meta (1 years)
        
        
        Proficiencies in: Go, Docker, Kubernetes, GitHub, AWS, Git, Ruby
        
        Achievements:
        - Led projects using Ruby
        - Improved system performance by 13%
        - Mentored 3 junior developers
        - Deployed solutions impacting 9785 users",synthetic,2025-12-07
RDD1B9051,DevOps Engineer,Mid-Level,3.0,"Python, Docker, Kubernetes, GitHub, AWS, Slack, Ruby",7,"Oracle, Stripe, Netflix, Adobe","DevOps Engineer with 3 years of experience
        
        Skills: Python, Docker, Kubernetes, GitHub, AWS, Slack, Ruby
        
        Experience:
        - Mid-Level DevOps Engineer at Oracle (3 years)
        - DevOps Engineer at Stripe (1 years)
        - Junior DevOps Engineer at Netflix (2 years)
        
        
        Proficiencies in: Python, Docker, Kubernetes, GitHub, AWS, Slack, Ruby
        
        Achievements:
        - Led projects using Ruby
        - Improved system performance by 43%
        - Mentored 5 junior developers
        - Deployed solutions impacting 9434 users",synthetic,2025-12-07
RC8C75D31,DevOps Engineer,Mid-Level,5.0,"Kotlin, Docker, Kubernetes, GitHub, VS Code, AWS, JavaScript",7,"IBM, Amazon, Uber","DevOps Engineer with 5 years of experience
        
        Skills: Kotlin, Docker, Kubernetes, GitHub, VS Code, AWS, JavaScript
        
        Experience:
        - Mid-Level DevOps Engineer at IBM (1 years)
        - DevOps Engineer at Amazon (2 years)
        - Junior DevOps Engineer at Uber (1 years)
        
        
        Proficiencies in: Kotlin, Docker, Kubernetes, GitHub, VS Code, AWS, JavaScript
        
        Achievements:
        - Led projects using VS Code
        - Improved system performance by 12%
        - Mentored 5 junior developers
        - Deployed solutions impacting 7006 users",synthetic,2025-12-07
R59204492,DevOps Engineer,Senior,10.0,"IntelliJ, JIRA, Go, Docker, Kubernetes, AWS, PHP",7,"Adobe, Meta, Airbnb, Elastic","DevOps Engineer with 10 years of experience
        
        Skills: IntelliJ, JIRA, Go, Docker, Kubernetes, AWS, PHP
        
        Experience:
        - Senior DevOps Engineer at Adobe (1 years)
        - DevOps Engineer at Meta (2 years)
        - Junior DevOps Engineer at Airbnb (1 years)
        
        
        Proficiencies in: IntelliJ, JIRA, Go, Docker, Kubernetes, AWS, PHP
        
        Achievements:
        - Led projects using Docker
        - Improved system performance by 35%
        - Mentored 4 junior developers
        - Deployed solutions impacting 6738 users",synthetic,2025-12-07
R3C7EF5FF,DevOps Engineer,Senior,9.0,"Confluence, Docker, Kubernetes, Figma, AWS, C++, JavaScript",7,"DataDog, GitLab","DevOps Engineer with 9 years of experience
        
        Skills: Confluence, Docker, Kubernetes, Figma, AWS, C++, JavaScript
        
        Experience:
        - Senior DevOps Engineer at DataDog (1 years)
        - DevOps Engineer at GitLab (3 years)

        
        
        Proficiencies in: Confluence, Docker, Kubernetes, Figma, AWS, C++, JavaScript
        
        Achievements:
        - Led projects using Confluence
        - Improved system performance by 17%
        - Mentored 2 junior developers
        - Deployed solutions impacting 4171 users",synthetic,2025-12-07
R850660AA,DevOps Engineer,Senior,9.0,"Confluence, Docker, Kubernetes, GitHub, AWS, JavaScript, Ruby",7,"Microsoft, Stripe, Oracle","DevOps Engineer with 9 years of experience
        
        Skills: Confluence, Docker, Kubernetes, GitHub, AWS, JavaScript, Ruby
        
        Experience:
        - Senior DevOps Engineer at Microsoft (1 years)
        - DevOps Engineer at Stripe (3 years)
        - Junior DevOps Engineer at Oracle (2 years)
        
        
        Proficiencies in: Confluence, Docker, Kubernetes, GitHub, AWS, JavaScript, Ruby
        
        Achievements:
        - Led projects using Ruby
        - Improved system performance by 19%
        - Mentored 4 junior developers
        - Deployed solutions impacting 9029 users",synthetic,2025-12-07
R6F666F22,DevOps Engineer,Lead,12.0,"Docker, Kubernetes, GitHub, AWS, Git, C#, PHP",7,"GitHub, IBM, HashiCorp, Salesforce","DevOps Engineer with 12 years of experience
        
        Skills: Docker, Kubernetes, GitHub, AWS, Git, C#, PHP
        
        Experience:
        - Lead DevOps Engineer at GitHub (2 years)
        - DevOps Engineer at IBM (2 years)
        - Junior DevOps Engineer at HashiCorp (2 years)
        
        
        Proficiencies in: Docker, Kubernetes, GitHub, AWS, Git, C#, PHP
        
        Achievements:
        - Led projects using Kubernetes
        - Improved system performance by 25%
        - Mentored 2 junior developers
        - Deployed solutions impacting 5819 users",synthetic,2025-12-07
R34D87460,DevOps Engineer,Lead,8.0,"Python, Docker, Kubernetes, Figma, AWS, Slack, C++",7,"Netflix, Spotify","DevOps Engineer with 8 years of experience
        
        Skills: Python, Docker, Kubernetes, Figma, AWS, Slack, C++
        
        Experience:
        - Lead DevOps Engineer at Netflix (2 years)
        - DevOps Engineer at Spotify (1 years)

        
        
        Proficiencies in: Python, Docker, Kubernetes, Figma, AWS, Slack, C++
        
        Achievements:
        - Led projects using Figma
        - Improved system performance by 29%
        - Mentored 5 junior developers
        - Deployed solutions impacting 1223 users",synthetic,2025-12-07
R9588D64D,DevOps Engineer,Lead,13.0,"Kotlin, Docker, Kubernetes, Figma, AWS, Slack, PHP",7,"MongoDB, Amazon, Apple","DevOps Engineer with 13 years of experience
        
        Skills: Kotlin, Docker, Kubernetes, Figma, AWS, Slack, PHP
        
        Experience:
        - Lead DevOps Engineer at MongoDB (1 years)
        - DevOps Engineer at Amazon (2 years)
        - Junior DevOps Engineer at Apple (1 years)
        
        
        Proficiencies in: Kotlin, Docker, Kubernetes, Figma, AWS, Slack, PHP
        
        Achievements:
        - Led projects using PHP
        - Improved system performance by 45%
        - Mentored 5 junior developers
        - Deployed solutions impacting 8796 users",synthetic,2025-12-07
R7D34E9E2,Frontend Developer,Junior,2.0,"IntelliJ, Vue.js, Figma, Angular, C++, JavaScript, React",7,"Google, Stripe, Spotify","Frontend Developer with 2 years of experience
        
        Skills: IntelliJ, Vue.js, Figma, Angular, C++, JavaScript, React
        
        Experience:
        - Junior Frontend Developer at Google (2 years)
        - Frontend Developer at Stripe (1 years)
        - Junior Frontend Developer at Spotify (1 years)
        
        
        Proficiencies in: IntelliJ, Vue.js, Figma, Angular, C++, JavaScript, React
        
        Achievements:
        - Led projects using Vue.js
        - Improved system performance by 15%
        - Mentored 4 junior developers
        - Deployed solutions impacting 5746 users",synthetic,2025-12-07
R6C90D80B,Frontend Developer,Junior,2.0,"JIRA, Vue.js, Angular, VS Code, JavaScript, React, Ruby",7,"Meta, GitHub","Frontend Developer with 2 years of experience
        
        Skills: JIRA, Vue.js, Angular, VS Code, JavaScript, React, Ruby
        
        Experience:
        - Junior Frontend Developer at Meta (1 years)
        - Frontend Developer at GitHub (3 years)

        
        
        Proficiencies in: JIRA, Vue.js, Angular, VS Code, JavaScript, React, Ruby
        
        Achievements:
        - Led projects using JIRA
        - Improved system performance by 37%
        - Mentored 3 junior developers
        - Deployed solutions impacting 7848 users",synthetic,2025-12-07
R162EB5D3,Frontend Developer,Junior,3.0,"Vue.js, Angular, GitHub, Slack, C++, React, C#",7,"Stripe, Meta, Microsoft","Frontend Developer with 3 years of experience
        
        Skills: Vue.js, Angular, GitHub, Slack, C++, React, C#
        
        Experience:
        - Junior Frontend Developer at Stripe (4 years)
        - Frontend Developer at Meta (3 years)
        - Junior Frontend Developer at Microsoft (2 years)
        
        
        Proficiencies in: Vue.js, Angular, GitHub, Slack, C++, React, C#
        
        Achievements:
        - Led projects using GitHub
        - Improved system performance by 32%
        - Mentored 2 junior developers
        - Deployed solutions impacting 7177 users",synthetic,2025-12-07
