resume_id,role_target,level,years_experience,skills,skills_count,companies_worked,resume_text,source,date_generated
RAC504915,Frontend Developer,Mid-Level,6.0,"JIRA, Vue.js, Angular, GitHub, Java, JavaScript, React",7,"Airbnb, Tesla, Adobe","Frontend Developer with 6 years of experience
        
        Skills: JIRA, Vue.js, Angular, GitHub, Java, JavaScript, React
        
        Experience:
        - Mid-Level Frontend Developer at Airbnb (2 years)
        - Frontend Developer at Tesla (3 years)
        - Junior Frontend Developer at Adobe (2 years)
        
        
        Proficiencies in: JIRA, Vue.js, Angular, GitHub, Java, JavaScript, React
        
        Achievements:
        - Led projects using JIRA
        - Improved system performance by 39%
        - Mentored 4 junior developers
        - Deployed solutions impacting 812 users",synthetic,2025-12-07
R7FE7A0FA,Frontend Developer,Mid-Level,4.0,"Kotlin, Vue.js, JIRA, Go, Angular, Git, React",7,"Elastic, Stripe","Frontend Developer with 4 years of experience
        
        Skills: Kotlin, Vue.js, JIRA, Go, Angular, Git, React
        
        Experience:
        - Mid-Level Frontend Developer at Elastic (4 years)
        - Frontend Developer at Stripe (2 years)

        
        
        Proficiencies in: Kotlin, Vue.js, JIRA, Go, Angular, Git, React
        
        Achievements:
        - Led projects using Kotlin
        - Improved system performance by 49%
        - Mentored 5 junior developers
        - Deployed solutions impacting 308 users",synthetic,2025-12-07
R085B75E4,Frontend Developer,Mid-Level,5.0,"Kotlin, Vue.js, Python, IntelliJ, Angular, Git, React",7,"Spotify, DataDog, HashiCorp","Frontend Developer with 5 years of experience
        
        Skills: Kotlin, Vue.js, Python, IntelliJ, Angular, Git, React
        
        Experience:
        - Mid-Level Frontend Developer at Spotify (1 years)
        - Frontend Developer at DataDog (1 years)
        - Junior Frontend Developer at HashiCorp (1 years)
        
        
        Proficiencies in: Kotlin, Vue.js, Python, IntelliJ, Angular, Git, React
        
        Achievements:
        - Led projects using React
        - Improved system performance by 44%
        - Mentored 5 junior developers
        - Deployed solutions impacting 138 users",synthetic,2025-12-07
R69EE121F,Frontend Developer,Senior,9.0,"Kotlin, Vue.js, Python, Figma, Angular, GitHub, React",7,"IBM, Adobe, Oracle","Frontend Developer with 9 years of experience
        
        Skills: Kotlin, Vue.js, Python, Figma, Angular, GitHub, React
        
        Experience:
        - Senior Frontend Developer at IBM (1 years)
        - Frontend Developer at Adobe (2 years)
        - Junior Frontend Developer at Oracle (2 years)
        
        
        Proficiencies in: Kotlin, Vue.js, Python, Figma, Angular, GitHub, React
        
        Achievements:
        - Led projects using GitHub
        - Improved system performance by 12%
        - Mentored 3 junior developers
        - Deployed solutions impacting 8727 users",synthetic,2025-12-07
R335DCB62,Frontend Developer,Senior,6.0,"IntelliJ, Vue.js, Go, Angular, Git, C++, React",7,"GitHub, Uber","Frontend Developer with 6 years of experience
        
        Skills: IntelliJ, Vue.js, Go, Angular, Git, C++, React
        
        Experience:
        - Senior Frontend Developer at GitHub (2 years)
        - Frontend Developer at Uber (2 years)

        
        
        Proficiencies in: IntelliJ, Vue.js, Go, Angular, Git, C++, React
        
        Achievements:
        - Led projects using Vue.js
        - Improved system performance by 21%
        - Mentored 4 junior developers
        - Deployed solutions impacting 9039 users",synthetic,2025-12-07
R354F4581,Frontend Developer,Senior,9.0,"Vue.js, Confluence, Go, Angular, Git, React, Rust",7,"IBM, Salesforce, Elastic, Stripe","Frontend Developer with 9 years of experience
        
        Skills: Vue.js, Confluence, Go, Angular, Git, React, Rust
        
        Experience:
        - Senior Frontend Developer at IBM (2 years)
        - Frontend Developer at Salesforce (3 years)
        - Junior Frontend Developer at Elastic (2 years)
        
        
        Proficiencies in: Vue.js, Confluence, Go, Angular, Git, React, Rust
        
        Achievements:
        - Led projects using Confluence
        - Improved system performance by 12%
        - Mentored 5 junior developers
        - Deployed solutions impacting 221 users",synthetic,2025-12-07
RE9E5E8EF,Frontend Developer,Lead,10.0,"Kotlin, Vue.js, Confluence, Figma, Angular, React, PHP",7,"Salesforce, Elastic, Netflix, Adobe","Frontend Developer with 10 years of experience
        
        Skills: Kotlin, Vue.js, Confluence, Figma, Angular, React, PHP
        
        Experience:
        - Lead Frontend Developer at Salesforce (3 years)
        - Frontend Developer at Elastic (2 years)
        - Junior Frontend Developer at Netflix (1 years)
        
        
        Proficiencies in: Kotlin, Vue.js, Confluence, Figma, Angular, React, PHP
        
        Achievements:
        - Led projects using React
        - Improved system performance by 18%
        - Mentored 5 junior developers
        - Deployed solutions impacting 7895 users",synthetic,2025-12-07
R6317D47A,Frontend Developer,Lead,9.0,"Kotlin, Vue.js, JIRA, Angular, VS Code, C++, React",7,"Oracle, Salesforce, HashiCorp, Amazon","Frontend Developer with 9 years of experience
        
        Skills: Kotlin, Vue.js, JIRA, Angular, VS Code, C++, React
        
        Experience:
        - Lead Frontend Developer at Oracle (3 years)
        - Frontend Developer at Salesforce (2 years)
        - Junior Frontend Developer at HashiCorp (1 years)
        
        
        Proficiencies in: Kotlin, Vue.js, JIRA, Angular, VS Code, C++, React
        
        Achievements:
        - Led projects using Kotlin
        - Improved system performance by 49%
        - Mentored 2 junior developers
        - Deployed solutions impacting 8304 users",synthetic,2025-12-07
R84346168,Frontend Developer,Lead,15.0,"JIRA, Vue.js, Confluence, Angular, JavaScript, React, PHP",7,"Salesforce, GitHub","Frontend Developer with 15 years of experience
        
        Skills: JIRA, Vue.js, Confluence, Angular, JavaScript, React, PHP
        
        Experience:
        - Lead Frontend Developer at Salesforce (4 years)
        - Frontend Developer at GitHub (3 years)

        
        
        Proficiencies in: JIRA, Vue.js, Confluence, Angular, JavaScript, React, PHP
        
        Achievements:
        - Led projects using JavaScript
        - Improved system performance by 40%
        - Mentored 5 junior developers
        - Deployed solutions impacting 8513 users",synthetic,2025-12-07
R425B1AE9,Backend Developer,Junior,1.0,"IntelliJ, JIRA, Express, Django, Node.js, C++, Rust",7,"Stripe, GitHub, Spotify","Backend Developer with 1 years of experience
        
        Skills: IntelliJ, JIRA, Express, Django, Node.js, C++, Rust
        
        Experience:
        - Junior Backend Developer at Stripe (4 years)
        - Backend Developer at GitHub (1 years)
        - Junior Backend Developer at Spotify (1 years)
        
        
        Proficiencies in: IntelliJ, JIRA, Express, Django, Node.js, C++, Rust
        
        Achievements:
        - Led projects using Node.js
        - Improved system performance by 46%
        - Mentored 5 junior developers
        - Deployed solutions impacting 980 users",synthetic,2025-12-07
RCF45EB2C,Backend Developer,Junior,2.0,"JIRA, Express, Django, Figma, Node.js, JavaScript, Rust",7,"Uber, Apple, Microsoft","Backend Developer with 2 years of experience
        
        Skills: JIRA, Express, Django, Figma, Node.js, JavaScript, Rust
        
        Experience:
        - Junior Backend Developer at Uber (3 years)
        - Backend Developer at Apple (2 years)
        - Junior Backend Developer at Microsoft (2 years)
        
        
        Proficiencies in: JIRA, Express, Django, Figma, Node.js, JavaScript, Rust
        
        Achievements:
        - Led projects using Express
        - Improved system performance by 26%
        - Mentored 2 junior developers
        - Deployed solutions impacting 9597 users",synthetic,2025-12-07
R87637D92,Backend Developer,Junior,2.0,"JIRA, Express, Django, GitHub, Node.js, C#, PHP",7,"GitLab, IBM, Google","Backend Developer with 2 years of experience
        
        Skills: JIRA, Express, Django, GitHub, Node.js, C#, PHP
        
        Experience:
        - Junior Backend Developer at GitLab (2 years)
        - Backend Developer at IBM (1 years)
        - Junior Backend Developer at Google (1 years)
        
        
        Proficiencies in: JIRA, Express, Django, GitHub, Node.js, C#, PHP
        
        Achievements:
        - Led projects using Express
        - Improved system performance by 43%
        - Mentored 3 junior developers
        - Deployed solutions impacting 1141 users",synthetic,2025-12-07
R9EC7142F,Backend Developer,Mid-Level,4.0,"Express, Django, GitHub, VS Code, Node.js, Ruby, C#",7,"Adobe, Spotify, Apple","Backend Developer with 4 years of experience
        
        Skills: Express, Django, GitHub, VS Code, Node.js, Ruby, C#
        
        Experience:
        - Mid-Level Backend Developer at Adobe (4 years)
        - Backend Developer at Spotify (3 years)
        - Junior Backend Developer at Apple (2 years)
        
        
        Proficiencies in: Express, Django, GitHub, VS Code, Node.js, Ruby, C#
        
        Achievements:
        - Led projects using GitHub
        - Improved system performance by 30%
        - Mentored 5 junior developers
        - Deployed solutions impacting 724 users",synthetic,2025-12-07
RD175959A,Backend Developer,Mid-Level,4.0,"IntelliJ, Express, Django, Java, Node.js, Git, JavaScript",7,"Adobe, Stripe, Meta, HashiCorp","Backend Developer with 4 years of experience
        
        Skills: IntelliJ, Express, Django, Java, Node.js, Git, JavaScript
        
        Experience:
        - Mid-Level Backend Developer at Adobe (1 years)
        - Backend Developer at Stripe (3 years)
        - Junior Backend Developer at Meta (1 years)
        
        
        Proficiencies in: IntelliJ, Express, Django, Java, Node.js, Git, JavaScript
        
        Achievements:
        - Led projects using Node.js
        - Improved system performance by 50%
        - Mentored 4 junior developers
        - Deployed solutions impacting 314 users",synthetic,2025-12-07
R5741BA51,Backend Developer,Mid-Level,6.0,"Express, Django, Figma, GitHub, Java, Node.js, JavaScript",7,"HashiCorp, Adobe, Apple","Backend Developer with 6 years of experience
        
        Skills: Express, Django, Figma, GitHub, Java, Node.js, JavaScript
        
        Experience:
        - Mid-Level Backend Developer at HashiCorp (3 years)
        - Backend Developer at Adobe (2 years)
        - Junior Backend Developer at Apple (2 years)
        
        
        Proficiencies in: Express, Django, Figma, GitHub, Java, Node.js, JavaScript
        
        Achievements:
        - Led projects using Node.js
        - Improved system performance by 33%
        - Mentored 2 junior developers
        - Deployed solutions impacting 7265 users",synthetic,2025-12-07
R57CAF4A3,Backend Developer,Senior,6.0,"IntelliJ, Express, Django, VS Code, Node.js, C#, PHP",7,"Google, IBM, Salesforce, GitHub","Backend Developer with 6 years of experience
        
        Skills: IntelliJ, Express, Django, VS Code, Node.js, C#, PHP
        
        Experience:
        - Senior Backend Developer at Google (4 years)
        - Backend Developer at IBM (3 years)
        - Junior Backend Developer at Salesforce (1 years)
        
        
        Proficiencies in: IntelliJ, Express, Django, VS Code, Node.js, C#, PHP
        
        Achievements:
        - Led projects using C#
        - Improved system performance by 46%
        - Mentored 4 junior developers
        - Deployed solutions impacting 5476 users",synthetic,2025-12-07
R4FA3A462,Backend Developer,Senior,6.0,"Kotlin, JIRA, Express, Django, Go, VS Code, Node.js",7,"IBM, Elastic","Backend Developer with 6 years of experience
        
        Skills: Kotlin, JIRA, Express, Django, Go, VS Code, Node.js
        
        Experience:
        - Senior Backend Developer at IBM (2 years)
        - Backend Developer at Elastic (1 years)

        
        
        Proficiencies in: Kotlin, JIRA, Express, Django, Go, VS Code, Node.js
        
        Achievements:
        - Led projects using Express
        - Improved system performance by 32%
        - Mentored 3 junior developers
        - Deployed solutions impacting 8574 users",synthetic,2025-12-07
RD0A04E31,Backend Developer,Senior,7.0,"Python, Express, Django, Confluence, Node.js, Git, PHP",7,"Tesla, Stripe, Spotify","Backend Developer with 7 years of experience
        
        Skills: Python, Express, Django, Confluence, Node.js, Git, PHP
        
        Experience:
        - Senior Backend Developer at Tesla (4 years)
        - Backend Developer at Stripe (2 years)
        - Junior Backend Developer at Spotify (1 years)
        
        
        Proficiencies in: Python, Express, Django, Confluence, Node.js, Git, PHP
        
        Achievements:
        - Led projects using Django
        - Improved system performance by 36%
        - Mentored 2 junior developers
        - Deployed solutions impacting 1607 users",synthetic,2025-12-07
RC149A679,Backend Developer,Lead,14.0,"Python, Express, Django, GitHub, VS Code, Node.js, Ruby",7,"IBM, GitHub, Tesla","Backend Developer with 14 years of experience
        
        Skills: Python, Express, Django, GitHub, VS Code, Node.js, Ruby
        
        Experience:
        - Lead Backend Developer at IBM (4 years)
        - Backend Developer at GitHub (3 years)
        - Junior Backend Developer at Tesla (1 years)
        
        
        Proficiencies in: Python, Express, Django, GitHub, VS Code, Node.js, Ruby
        
        Achievements:
        - Led projects using GitHub
        - Improved system performance by 24%
        - Mentored 2 junior developers
        - Deployed solutions impacting 6541 users",synthetic,2025-12-07
R47B4D777,Backend Developer,Lead,15.0,"Confluence, Express, Django, VS Code, Node.js, C++, PHP",7,"Airbnb, Netflix, HashiCorp","Backend Developer with 15 years of experience
        
        Skills: Confluence, Express, Django, VS Code, Node.js, C++, PHP
        
        Experience:
        - Lead Backend Developer at Airbnb (1 years)
        - Backend Developer at Netflix (1 years)
        - Junior Backend Developer at HashiCorp (1 years)
        
        
        Proficiencies in: Confluence, Express, Django, VS Code, Node.js, C++, PHP
        
        Achievements:
        - Led projects using PHP
        - Improved system performance by 20%
        - Mentored 4 junior developers
        - Deployed solutions impacting 6142 users",synthetic,2025-12-07
R43F12EC9,Backend Developer,Lead,10.0,"IntelliJ, Confluence, Express, Django, Node.js, C#, PHP",7,"Adobe, MongoDB, Stripe, Tesla","Backend Developer with 10 years of experience
        
        Skills: IntelliJ, Confluence, Express, Django, Node.js, C#, PHP
        
        Experience:
        - Lead Backend Developer at Adobe (1 years)
        - Backend Developer at MongoDB (2 years)
        - Junior Backend Developer at Stripe (1 years)
        
        
        Proficiencies in: IntelliJ, Confluence, Express, Django, Node.js, C#, PHP
        
        Achievements:
        - Led projects using Django
        - Improved system performance by 41%
        - Mentored 2 junior developers
        - Deployed solutions impacting 860 users",synthetic,2025-12-07
R04BE14BE,Cloud Architect,Junior,2.0,"Kotlin, IntelliJ, Docker, Kubernetes, AWS, Git, C++",7,"GitLab, GitHub","Cloud Architect with 2 years of experience
        
        Skills: Kotlin, IntelliJ, Docker, Kubernetes, AWS, Git, C++
        
        Experience:
        - Junior Cloud Architect at GitLab (2 years)
        - Cloud Architect at GitHub (2 years)

        
        
        Proficiencies in: Kotlin, IntelliJ, Docker, Kubernetes, AWS, Git, C++
        
        Achievements:
        - Led projects using C++
        - Improved system performance by 41%
        - Mentored 2 junior developers
        - Deployed solutions impacting 5886 users",synthetic,2025-12-07
R0D7CEF85,Cloud Architect,Junior,1.0,"JIRA, IntelliJ, Docker, Kubernetes, AWS, C++, C#",7,"Airbnb, DataDog, GitHub","Cloud Architect with 1 years of experience
        
        Skills: JIRA, IntelliJ, Docker, Kubernetes, AWS, C++, C#
        
        Experience:
        - Junior Cloud Architect at Airbnb (4 years)
        - Cloud Architect at DataDog (2 years)
        - Junior Cloud Architect at GitHub (2 years)
        
        
        Proficiencies in: JIRA, IntelliJ, Docker, Kubernetes, AWS, C++, C#
        
        Achievements:
        - Led projects using JIRA
        - Improved system performance by 28%
        - Mentored 2 junior developers
        - Deployed solutions impacting 7153 users",synthetic,2025-12-07
R12362A09,Cloud Architect,Junior,1.0,"JIRA, Docker, Kubernetes, AWS, Git, C#, PHP",7,"MongoDB, GitHub, Elastic, Tesla","Cloud Architect with 1 years of experience
        
        Skills: JIRA, Docker, Kubernetes, AWS, Git, C#, PHP
        
        Experience:
        - Junior Cloud Architect at MongoDB (2 years)
        - Cloud Architect at GitHub (1 years)
        - Junior Cloud Architect at Elastic (1 years)
        
        
        Proficiencies in: JIRA, Docker, Kubernetes, AWS, Git, C#, PHP
        
        Achievements:
        - Led projects using PHP
        - Improved system performance by 12%
        - Mentored 2 junior developers
        - Deployed solutions impacting 3894 users",synthetic,2025-12-07
R6CA5E663,Cloud Architect,Mid-Level,5.0,"Go, Docker, Kubernetes, Java, VS Code, AWS, Git",7,"Amazon, Netflix, IBM, Uber","Cloud Architect with 5 years of experience
        
        Skills: Go, Docker, Kubernetes, Java, VS Code, AWS, Git
        
        Experience:
        - Mid-Level Cloud Architect at Amazon (2 years)
        - Cloud Architect at Netflix (3 years)
        - Junior Cloud Architect at IBM (2 years)
        
        
        Proficiencies in: Go, Docker, Kubernetes, Java, VS Code, AWS, Git
        
        Achievements:
        - Led projects using Git
        - Improved system performance by 37%
        - Mentored 3 junior developers
        - Deployed solutions impacting 9636 users",synthetic,2025-12-07
R76E04CC2,Cloud Architect,Mid-Level,6.0,"JIRA, IntelliJ, Go, Docker, Kubernetes, AWS, PHP",7,"Microsoft, GitHub, HashiCorp","Cloud Architect with 6 years of experience
        
        Skills: JIRA, IntelliJ, Go, Docker, Kubernetes, AWS, PHP
        
        Experience:
        - Mid-Level Cloud Architect at Microsoft (1 years)
        - Cloud Architect at GitHub (1 years)
        - Junior Cloud Architect at HashiCorp (1 years)
        
        
        Proficiencies in: JIRA, IntelliJ, Go, Docker, Kubernetes, AWS, PHP
        
        Achievements:
        - Led projects using PHP
        - Improved system performance by 35%
        - Mentored 2 junior developers
        - Deployed solutions impacting 6750 users",synthetic,2025-12-07
RFC98C0A8,Cloud Architect,Mid-Level,3.0,"Docker, Kubernetes, Figma, VS Code, AWS, Ruby, PHP",7,"HashiCorp, Elastic, Salesforce, Adobe","Cloud Architect with 3 years of experience
        
        Skills: Docker, Kubernetes, Figma, VS Code, AWS, Ruby, PHP
        
        Experience:
        - Mid-Level Cloud Architect at HashiCorp (3 years)
        - Cloud Architect at Elastic (1 years)
        - Junior Cloud Architect at Salesforce (2 years)
        
        
        Proficiencies in: Docker, Kubernetes, Figma, VS Code, AWS, Ruby, PHP
        
        Achievements:
        - Led projects using VS Code
        - Improved system performance by 15%
        - Mentored 2 junior developers
        - Deployed solutions impacting 7087 users",synthetic,2025-12-07
R8D562FBB,Cloud Architect,Senior,10.0,"Python, Docker, Kubernetes, Figma, GitHub, AWS, C#",7,"GitHub, Tesla, Amazon","Cloud Architect with 10 years of experience
        
        Skills: Python, Docker, Kubernetes, Figma, GitHub, AWS, C#
        
        Experience:
        - Senior Cloud Architect at GitHub (1 years)
        - Cloud Architect at Tesla (1 years)
        - Junior Cloud Architect at Amazon (1 years)
        
        
        Proficiencies in: Python, Docker, Kubernetes, Figma, GitHub, AWS, C#
        
        Achievements:
        - Led projects using Python
        - Improved system performance by 21%
        - Mentored 3 junior developers
        - Deployed solutions impacting 4366 users",synthetic,2025-12-07
R1EE5124B,Cloud Architect,Senior,7.0,"Kotlin, Confluence, Go, Docker, Kubernetes, AWS, Slack",7,"Meta, Adobe, Amazon, HashiCorp","Cloud Architect with 7 years of experience
        
        Skills: Kotlin, Confluence, Go, Docker, Kubernetes, AWS, Slack
        
        Experience:
        - Senior Cloud Architect at Meta (4 years)
        - Cloud Architect at Adobe (2 years)
        - Junior Cloud Architect at Amazon (1 years)
        
        
        Proficiencies in: Kotlin, Confluence, Go, Docker, Kubernetes, AWS, Slack
        
        Achievements:
        - Led projects using Kubernetes
        - Improved system performance by 34%
        - Mentored 2 junior developers
        - Deployed solutions impacting 2553 users",synthetic,2025-12-07
R57E48515,Cloud Architect,Senior,8.0,"Kotlin, JIRA, Confluence, Docker, Kubernetes, AWS, Rust",7,"DataDog, Netflix, Tesla","Cloud Architect with 8 years of experience
        
        Skills: Kotlin, JIRA, Confluence, Docker, Kubernetes, AWS, Rust
        
        Experience:
        - Senior Cloud Architect at DataDog (4 years)
        - Cloud Architect at Netflix (2 years)
        - Junior Cloud Architect at Tesla (2 years)
        
        
        Proficiencies in: Kotlin, JIRA, Confluence, Docker, Kubernetes, AWS, Rust
        
        Achievements:
        - Led projects using AWS
        - Improved system performance by 26%
        - Mentored 3 junior developers
        - Deployed solutions impacting 2189 users",synthetic,2025-12-07
RFB056BFC,Cloud Architect,Lead,8.0,"Kotlin, Confluence, Docker, Kubernetes, Figma, Java, AWS",7,"Adobe, Uber, Meta, Salesforce","Cloud Architect with 8 years of experience
        
        Skills: Kotlin, Confluence, Docker, Kubernetes, Figma, Java, AWS
        
        Experience:
        - Lead Cloud Architect at Adobe (3 years)
        - Cloud Architect at Uber (2 years)
        - Junior Cloud Architect at Meta (2 years)
        
        
        Proficiencies in: Kotlin, Confluence, Docker, Kubernetes, Figma, Java, AWS
        
        Achievements:
        - Led projects using Java
        - Improved system performance by 48%
        - Mentored 5 junior developers
        - Deployed solutions impacting 8540 users",synthetic,2025-12-07
R41676B63,Cloud Architect,Lead,15.0,"JIRA, IntelliJ, Go, Docker, Kubernetes, AWS, C++",7,"Tesla, Uber, Salesforce","Cloud Architect with 15 years of experience
        
        Skills: JIRA, IntelliJ, Go, Docker, Kubernetes, AWS, C++
        
        Experience:
        - Lead Cloud Architect at Tesla (3 years)
        - Cloud Architect at Uber (2 years)
        - Junior Cloud Architect at Salesforce (1 years)
        
        
        Proficiencies in: JIRA, IntelliJ, Go, Docker, Kubernetes, AWS, C++
        
        Achievements:
        - Led projects using Docker
        - Improved system performance by 35%
        - Mentored 5 junior developers
        - Deployed solutions impacting 1622 users",synthetic,2025-12-07
R2B88C317,Cloud Architect,Lead,12.0,"Confluence, Docker, Kubernetes, Java, AWS, Git, PHP",7,"Adobe, Airbnb, Salesforce, Spotify","Cloud Architect with 12 years of experience
        
        Skills: Confluence, Docker, Kubernetes, Java, AWS, Git, PHP
        
        Experience:
        - Lead Cloud Architect at Adobe (1 years)
        - Cloud Architect at Airbnb (2 years)
        - Junior Cloud Architect at Salesforce (2 years)
        
        
        Proficiencies in: Confluence, Docker, Kubernetes, Java, AWS, Git, PHP
        
        Achievements:
        - Led projects using Java
        - Improved system performance by 27%
        - Mentored 3 junior developers
        - Deployed solutions impacting 3763 users",synthetic,2025-12-07
R0CE05DD7,Machine Learning Engineer,Junior,1.0,"JIRA, Confluence, Ruby, Java",4,"Adobe, Elastic","Machine Learning Engineer with 1 years of experience
        
        Skills: JIRA, Confluence, Ruby, Java
        
        Experience:
        - Junior Machine Learning Engineer at Adobe (2 years)
        - Machine Learning Engineer at Elastic (2 years)

        
        
        Proficiencies in: JIRA, Confluence, Ruby, Java
        
        Achievements:
        - Led projects using JIRA
        - Improved system performance by 47%
        - Mentored 4 junior developers
        - Deployed solutions impacting 1898 users",synthetic,2025-12-07
R8E3C2357,Machine Learning Engineer,Junior,3.0,"Python, VS Code, C++, Confluence",4,"Netflix, MongoDB, Oracle","Machine Learning Engineer with 3 years of experience
        
        Skills: Python, VS Code, C++, Confluence
        
        Experience:
        - Junior Machine Learning Engineer at Netflix (2 years)
        - Machine Learning Engineer at MongoDB (3 years)
        - Junior Machine Learning Engineer at Oracle (1 years)
        
        
        Proficiencies in: Python, VS Code, C++, Confluence
        
        Achievements:
        - Led projects using Python
        - Improved system performance by 37%
        - Mentored 2 junior developers
        - Deployed solutions impacting 6058 users",synthetic,2025-12-07
R74BD22F3,Machine Learning Engineer,Junior,2.0,"Kotlin, Confluence, Git, C++",4,"Netflix, Meta","Machine Learning Engineer with 2 years of experience
        
        Skills: Kotlin, Confluence, Git, C++
        
        Experience:
        - Junior Machine Learning Engineer at Netflix (1 years)
        - Machine Learning Engineer at Meta (2 years)

        
        
        Proficiencies in: Kotlin, Confluence, Git, C++
        
        Achievements:
        - Led projects using Git
        - Improved system performance by 30%
        - Mentored 3 junior developers
        - Deployed solutions impacting 1840 users",synthetic,2025-12-07
R85297F48,Machine Learning Engineer,Mid-Level,5.0,"IntelliJ, Ruby, PHP, JIRA",4,"Airbnb, Stripe, Tesla","Machine Learning Engineer with 5 years of experience
        
        Skills: IntelliJ, Ruby, PHP, JIRA
        
        Experience:
        - Mid-Level Machine Learning Engineer at Airbnb (1 years)
        - Machine Learning Engineer at Stripe (3 years)
        - Junior Machine Learning Engineer at Tesla (1 years)
        
        
        Proficiencies in: IntelliJ, Ruby, PHP, JIRA
        
        Achievements:
        - Led projects using PHP
        - Improved system performance by 39%
        - Mentored 3 junior developers
        - Deployed solutions impacting 1615 users",synthetic,2025-12-07
R69A5ECF5,Machine Learning Engineer,Mid-Level,3.0,"JIRA, GitHub, Go, C++",4,"Stripe, Microsoft, Apple, Netflix","Machine Learning Engineer with 3 years of experience
        
        Skills: JIRA, GitHub, Go, C++
        
        Experience:
        - Mid-Level Machine Learning Engineer at Stripe (2 years)
        - Machine Learning Engineer at Microsoft (1 years)
        - Junior Machine Learning Engineer at Apple (1 years)
        
        
        Proficiencies in: JIRA, GitHub, Go, C++
        
        Achievements:
        - Led projects using GitHub
        - Improved system performance by 49%
        - Mentored 2 junior developers
        - Deployed solutions impacting 4720 users",synthetic,2025-12-07
